field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
feedmeat_goatfreq_q17,feedingquestionaire,,dropdown,17. How many times have you given meat to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feedchickenfrequency_q16]='0' or [feedchickenfrequency_q16]='1' or [feedchickenfrequency_q16]='2' or [feedchickenfrequency_q16]='3' or [feedchickenfrequency_q16]='4'),y,,,,,
feed_fishfrequency_q18,feedingquestionaire,,dropdown,18. How many times have you given fish to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feedmeat_goatfreq_q17]='0' or [feedmeat_goatfreq_q17]='1' or [feedmeat_goatfreq_q17]='2' or [feedmeat_goatfreq_q17]='3' or [feedmeat_goatfreq_q17]='4'),y,,,,,
feed_shrims_frequency_q19,feedingquestionaire,,dropdown,19. How many times have you given shrimps to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_fishfrequency_q18]='0' or [feed_fishfrequency_q18]='1' or [feed_fishfrequency_q18]='2' or [feed_fishfrequency_q18]='3' or [feed_fishfrequency_q18]='4'),y,,,,,
feed_oyster_frequency_q20,feedingquestionaire,,dropdown,20. How many times have you given Oyster to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_shrims_frequency_q19]='0' or 	[feed_shrims_frequency_q19]='1' or 	[feed_shrims_frequency_q19]='2' or 	[feed_shrims_frequency_q19]='3' or 	[feed_shrims_frequency_q19]='4'),y,,,,,
feedq_mono_q21,feedingquestionaire,,dropdown,21. How many times have you given mono/jidiyo to your child in  the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_oyster_frequency_q20]='0' or [feed_oyster_frequency_q20]='1' or [feed_oyster_frequency_q20]='2' or [feed_oyster_frequency_q20]='3' or [feed_oyster_frequency_q20]='4'),y,,,,,
feedq_sanyoa_q22,feedingquestionaire,,dropdown,22. How many times have you given sanyoa/mani/tubanyo/dukala to your child in the  past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feedq_mono_q21]='0' or [feedq_mono_q21]='1' or [feedq_mono_q21]='2' or [feedq_mono_q21]='3' or [feedq_mono_q21]='4'),y,,,,,
feedq_tiakere_churo_q23,feedingquestionaire,,dropdown,23. How many times have you given tiakere churo to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feedq_sanyoa_q22]='0' or [feedq_sanyoa_q22]='1' or [feedq_sanyoa_q22]='2' or [feedq_sanyoa_q22]='3' or [feedq_sanyoa_q22]='4'),y,,,,,
feed_manago_frequency_q24,feedingquestionaire,,dropdown,24. How many times have you given mangoes to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feedq_tiakere_churo_q23]='0' or [feedq_tiakere_churo_q23]='1' or [feedq_tiakere_churo_q23]='2' or [feedq_tiakere_churo_q23]='3' or [feedq_tiakere_churo_q23]='4'),y,,,,,
feed_orange_frequency_q25,feedingquestionaire,,dropdown,25. How many times have you given oranges to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_manago_frequency_q24]='0' or [feed_manago_frequency_q24]='1' or [feed_manago_frequency_q24]='2' or [feed_manago_frequency_q24]='3' or [feed_manago_frequency_q24]='4'),y,,,,,
feed_watermelon_frequ_q26,feedingquestionaire,,dropdown,26. How many times have you given watermelon to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_orange_frequency_q25]='0' or [feed_orange_frequency_q25]='1' or [feed_orange_frequency_q25]='2' or [feed_orange_frequency_q25]='3' or [feed_orange_frequency_q25]='4'),y,,,,,
feed_pawpaw_frequency_q27,feedingquestionaire,,dropdown,27. How many times have you given pawpaw to your child in the  past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_watermelon_frequ_q26]='0' or [feed_watermelon_frequ_q26]='1' or [feed_watermelon_frequ_q26]='2' or [feed_watermelon_frequ_q26]='3' or [feed_watermelon_frequ_q26]='4'),y,,,,,
feed_banana_frequency_q28,feedingquestionaire,,dropdown,28. How many times have you given banana to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_pawpaw_frequency_q27]='0' or [feed_pawpaw_frequency_q27]='1' or [feed_pawpaw_frequency_q27]='2' or [feed_pawpaw_frequency_q27]='3' or [feed_pawpaw_frequency_q27]='4'),y,,,,,
feed_apple_frequency_q29,feedingquestionaire,,dropdown,29. How many times have you given apple to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_banana_frequency_q28]='0' or [feed_banana_frequency_q28]='1' or [feed_banana_frequency_q28]='2' or [feed_banana_frequency_q28]='3' or [feed_banana_frequency_q28]='4'),y,,,,,
feed_juice_frequency_q30,feedingquestionaire,,dropdown,"30. How many times have you given local juice( e.g baobab, wonjo, dittah) to your child in the past 7 days?","0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_apple_frequency_q29]='0' or [feed_apple_frequency_q29]='1' or [feed_apple_frequency_q29]='2' or [feed_apple_frequency_q29]='3' or [feed_apple_frequency_q29]='4'),y,,,,,
feed_juice_frequency_q31,feedingquestionaire,,dropdown,31. How many times have you given commercial fruit juice (liquid or powdered juice) to your child in the past 7 days?,"0, 0 | 1, 1 | 2, 2 | 3, 3 | 4, 4 or more",,,,,,([feed_juice_frequency_q30]='0' or [feed_juice_frequency_q30]='1' or [feed_juice_frequency_q30]='2' or [feed_juice_frequency_q30]='3' or [feed_juice_frequency_q30]='4'),y,,,,,
feed_staff_q32,feedingquestionaire,,text,32)  Staff completing form(ID),,,,,,,,,,,,,@APPUSERNAME-APP
appt_multivitamin_q1,appetite,,yesno,Q1) Was your child taking multivitamin over the last two weeks? (Yes/No),,,,,,,,y,,,,,
appt_appetite_last2week_q2,appetite,,checkbox,"Q2) How would you describe the appetite of your child over the last 2 weeks
","1, Eats well | 2, Accepts | 3, Difficult to get to eat. | 4, Refuses | 5, Other",,,,,,,y,,,,,
appt_specifyother_q2a,appetite,,notes,2a.Specify other,,,,,,,[appt_appetite_last2week_q2(5)] = '1',,,,,,
appt_childsick_q3,appetite,,yesno,Q3) Was your child sick during this period? ,,,,,,,,y,,,,,
appt_callnurse_q4,appetite,,descriptive,"<div class=""rich-text-field-label""><h2 style=""text-align: center;""><span style=""color: #2dc26b;"">Please contact the study Nurse</span></h2></div>",,,,,,,[appt_childsick_q3]='1',,,,,,
adve_q1,ae,,checkbox,1.  Please  select the Adverse Event symptom/signs-(drop down box),"17, Fever | 18, Vomiting | 19, diarrhoea | 20, jaundice | 67, Anorexia, | 21, Abdominal pain | 22, Abdominal distension | 23, Cough | 24, Difficulty in breathing | 25, wheezing | 26, Nasal flaring | 27, stridor | 28, lower chest indrawing | 29, Cyanosis | 30, bloating | 31, bulging fontanelle | 32, lethargy | 33, restlessness | 34, irritability | 35, coma | 36, Seizure | 37, joint pain | 38, boil | 39, insect bite | 40, palor | 41, Pedal edema | 42, musculoskeletal swelling | 43, Musculoskeletal tenderness | 44, sore throat | 45, Ear pain | 46, pus in the ear | 47, Redness of the eye/s | 48, Eczema | 49, Ringworm | 50, scabies | 51, cellulitis | 52, petechiae | 53, itching of throat | 54, allergic skin reaction | 55, hand swelling | 56, foot swelling | 57, Abscess | 58, skin-flaky paint appearance | 59, jaw swelling | 69, lymphadenopathy | 60, Nasal discharge | 61, running nose | 62, persistent diarrhoea | 63, wasting | 64, urinary frequency | 65, shock | 66, Abnormal hair, | 68, Others",,,,,,,y,,,,,
adve_otherdisgn_q1b,ae,,notes,1b.Other ,,,,,,,[adve_q1(68)] = '1',,,,,,
adve_dignosis_q1c,ae,,radio,1c. Adverse Event Diagnosis,"1, Malaria | 2, Acute watery diarrhoea | 3, Abscess | 4, Bronchiolitis | 5, Severe Anemia | 6, Gastroenteritis | 7, Persistent diarrheoea | 8, Tinea pedis | 9, Tinea corporis | 10, Tinea capitis | 11, Pneumonia | 12, Acute upper respiratory tract infection | 13, Tonsilitis | 14, Mumps | 15, Malnutrition | 16, mastoiditis | 17, sinusitis | 18, Otitis media | 19, otitis externa | 20, sickle cell anemia | 21, common cold | 22, Baciliary dysentry | 23, Anemic Heart failure | 24, Foreign body ingestion | 25, conjunctivitis | 26, allergy | 27, hypersensitivity reaction | 28, osteomyelitis | 29, scabies | 30, urticaria | 31, arthralgia | 32, cellulitis | 33, lower respiratory tract infection | 34, febrile convulsion | 35, non febrile seizure | 36, measles | 37, sepsis | 38, meningitis | 39, Anaphylaxis | 40, viral exanthem | 41, hypovolemic shock | 42, skin infection | 43, intestinal obstruction | 44, other",,,,,,,y,,,,,
adve_specother_q1d,ae,,notes,1d.Specify other,,,,,,,[adve_dignosis_q1c] = '44',,,,,,
adve_startdate_q2,ae,,text,2. Start Date ,,,datetime_dmy,,,,,y,,,,,
adve_aenumber_q2a,ae,,calc,2a.AE Number,"concat(left([adve_startdate_q2],2),right([adve_startdate_q2],2))",,,,,,,y,,,,,@HIDDEN
adve_ongoing,ae,,yesno,3. Ongoing,,,,,,,,y,,,,,
adve_stopdate_q4,ae,,text,4. Stop Date,,,date_dmy,,,,[adve_ongoing]='0',,,,,,
day_bt_ae,ae,,calc,How long is the AE,"round((datediff([adve_startdate_q2],""now"",""d"")),1)",,,,,,,,,,,,@HIDDEN
adve_intensity_q6d,ae,,radio,4a. Intensity,"1, Mild (Grade 1) | 2, Moderate (Grade 2) | 3, Severe (Grade 3)",,,,,,,y,,,,,
adve_outcome_q5,ae,,dropdown,5.Outcome,"1, Recovered/Resolved | 2, Recovering/Resolving | 3, Not Recovered/Not recovering | 4, Resolved with sequelae | 5, Death | 6, Not recovered within follow-up period",,,,,,[adve_ongoing]='1',y,,,,,
ae_ongong_msg,ae,,descriptive,"<div class=""rich-text-field-label""><h2>The outcome cannot be <span style=""color: #e67e23;"">RECOVERED/ RESOLVED</span> because the AE is ongoing</h2></div>",,,,,,,[adve_ongoing] = '1' and [adve_outcome_q5] = '1',,,,,,
ae_ongong_msg_2,ae,,descriptive,"<div class=""rich-text-field-label""><h2>The outcome cannot be <span style=""color: #e67e23;"">Resolved with sequelae</span> because the AE is ongoing</h2></div>",,,,,,,[adve_ongoing] = '1' and [adve_outcome_q5] = '4',,,,,,
ae_ongong_msg_3,ae,,descriptive,"<div class=""rich-text-field-label""><h2>The outcome cannot be <span style=""color: #e67e23;"">death</span> because the AE is ongoing</h2></div>",,,,,,,[adve_ongoing] = '1' and [adve_outcome_q5] = '5',,,,,,
a_outcome,ae,,dropdown,5a.Outcome,"1, Recovered/Resolved | 2, Recovering/Resolving | 3, Not Recovered/Not recovering | 4, Resolved with sequelae | 5, Death | 6, Not recovered within follow-up period",,,,,,[adve_ongoing]='0',y,,,,,
ae_ongong_msg_5,ae,,descriptive,"<div class=""rich-text-field-label""><h2>The outcome cannot be not <span style=""color: #e67e23;"">RECOVERED/ not Recovering</span> because the AE is not ongoing</h2></div>",,,,,,,[adve_ongoing] = '0' and [a_outcome] = '3',,,,,,
ae_ongong_msg_8,ae,,descriptive,"<div class=""rich-text-field-label""><h2>The outcome cannot be <span style=""color: #e67e23;"">Recovering/ Resolving</span> because the AE is not ongoing</h2></div>",,,,,,,[adve_ongoing] = '0' and [a_outcome] = '2',,,,,,
ae_ongong_msg_6,ae,,descriptive,"<div class=""rich-text-field-label""><h2>The outcome cannot be not recovered within the fellow-up period because the AE is not ongoing</h2></div>",,,,,,,[adve_ongoing] = '0' and [a_outcome] = '6',,,,,,
ae_ongong_msg_7,ae,,descriptive,"<div class=""rich-text-field-label""><h2>Notify PI and sponsors within 24 hour and fill the SAE form</h2></div>",,,,,,,[adve_ongoing] = '0' and [a_outcome] = '5',,,,,,
adve_serious_q6,ae,,yesno,6.  Is the event serious? ,,,,,,,,y,,,,,
adve_sae_date_q6a,ae,,text, 6a. SAE start date,,,date_dmy,,,,[adve_serious_q6]='1',y,,,,,
adve_sae_q6b,ae,,checkbox,6b..Select all that apply ,"1, Death | 2, Life-threatening | 3, Persistent/Significant Disability/ Incapacity | 4, Result in Congenital Anomaly/Birth Defect | 5, Hospitalisation | 6, Prolongation of Hospitalisation | 7, Other (please specify)",,,,,,[adve_serious_q6]='1',y,,,,,
adve_specother_q6c,ae,,notes,6c.Specify other,,,,,,,[adve_sae_q6b(7)] = '1',,,,,,
adve_deathdate_6b1,ae,,text,6b1.Date of death ,,,date_dmy,,,,[adve_sae_q6b(1)] = '1',,,,,,
adve_hospitalizedate_q6b2,ae,,text,6b2.Date of hospitalization,,,date_dmy,,,,[adve_sae_q6b(5)] = '1',,,,,,
adve_prolongstartdate_q6b3,ae,,text,6b3.Start date of prolongation,,,date_dmy,,,,[adve_sae_q6b(6)] = '1',,,,,,
adve_outcome_q6e,ae,,radio,6e.Outcome of Event ,"1, Ongoing | 2, Fully recovered | 3, Recovered with sequelae | 4, Death | 5, Unknown",,,,,,[adve_serious_q6]='1',,,,,,
adve_dischargedate_6e1,ae,,text,"6e1.When hospitalised, date of discharge",,,date_dmy,,,,[adve_outcome_q6e(2)] = '1',,,,,,
adve_investiaction_q6f,ae,,checkbox,6f. Action taken by investigator,"1, None | 2, Investigational product discontinuation | 3, Medication | 4, Hospitalisation | 5, Participant withdrawn | Other, Specify",,,,,,[adve_serious_q6]='1',,,,,,
adve_specactionpi_q6g,ae,,notes,6g.Specify action taken,,,,,,,[adve_investiaction_q6f(Other)] = '1',,,,,,
adve_ipinformatin_q6h,ae,,checkbox,6h.Investigational Product (IP) Information,"1, Blinded | 2, IP name | 3, Route | 4, Daily IP Dose/Unit | 5, Start date | 6, Stop date",,,,,,[adve_serious_q6]='1',y,,,,,@HIDDEN
adve_saerelate_ip_q6i,ae,,radio,"6i. Is SAE Related to IP 
","1, Definite | 2, Probable | 3, Possible | 4, Unrelated",,,,,,[adve_serious_q6]='1',y,,,,,
adve_relate_trialproc_q6j,ae,,yesno,6j. Is SAE Related to trial procedure ,,,,,,,[adve_serious_q6]='1',y,,,,,
adve_trial_procedure_q6k,ae,,notes,6k. Specify,,,,,,,[adve_relate_trialproc_q6j]='1',,,,,,
adve_finalsae_q6l,ae,,checkbox,6l.Final SAE Diagnosis,"14, Abscess | 15, Bronchiolitis | 16, Anemic Heart Failure | 17, Rheumatic Heart Disease | 18, Sickle cell crisis | 19, severe malaria | 20, Pneumonia | 21, persistent diarrhea | 22, Gastroenteritis | 23, Tonsilitis | 24, Otitis media(L) | 25, Otitis media(R) | 26, Otitis media(R,L) | 27, Severe diarrhea | 28, Severe Anemia | 29, Baciliary dysentary | 30, Urinary Tract infection | 31, Intestinal Obstruction | 32, Sepsis Meningitis | 33, Foreign body ingestion | 34, Hypersensitivity reactions | 35, Acute abdomen | 36, Chronic osteomyelitis | 37, Lower respiratory tract infection | 38, Acute upper respiratory tract infection | 39, severe malnutrition | 40, Febrile seizure | 41, Viral encephalopathy | 42, Nephrotic syndrome | 43, Acute glomerulonephritis | 44, Renal failure | 45, Non febrile seizure | 46, Anaphylactic reaction | 47, Hypovolemic shock | 48, viral exanthem | 49, Measles infection | 50, Others",,,,,,[adve_serious_q6]='1',,,,,,
adve_dignosisother_q6l1,ae,,notes,6l1)Specify other,,,,,,,,,,,,,
adve_saestopdate_q6m,ae,,text,6m. SAE Stop date,,,date_dmy,,,,[adve_serious_q6]='1',,,,,,
adve_drugclass_q7,ae,,checkbox,7.Please select the drug class,"1, Antipyretics | 2, Anti-histamin(oral) | 3, oral rehydration therapy | 4, intravenous fluid | 5, Topical eyes, | 6, steroids | 7, Analgesics | 8, Antibiotics | 9, Antimalarial | 10, Antifungal | 11, antihelmithic(oral) | 12, Anticonvulsants | 13, supplements | 14, topical-skin | 15, others",,,,,,,y,,,,,
other_spacify,ae,,notes,other spacify,,,,,,,[adve_drugclass_q7]='15',,,,,,
adve_genericdrugname_q7a,ae,,checkbox,7a.Please Select drug generic name,"16, ibruprofen | 17, paracetamol | 18, amoxicillin | 19, ampicillin | 81, Gentamicin | 20, azithromycin | 21, cloxacillin | 22, Co-Amoxiclav | 23, chloramphenicol | 24, cefixime | 25, cefuroxime | 26, cefalexin | 27, ceftriaxone | 28, co-trimoxazole | 29, Doxycycline | 30, Erythromycin | 31, flucloxacillin | 32, cefotaxime | 33, metronidazole | 34, Nalidixic Acid | 35, penicillin | 36, selexid/pivmecillinam | 37, Benzathine benzyl penicillin | 38, Artemeter | 39, Artemether/Lumenfantrine | 40, Artesunate | 41, quinine | 82, Gentamicin | 42, Fluconazole(oral) | 43, Griseofulvin(Fulcin)-oral | 44, Nystatin Oral suspension | 45, Albendazole | 46, Mebendazole | 47, chlorpheniramine | 48, loratidin | 49, cetrizine | 50, Oral Rehydration therapy | 51, Hydrocortisone | 52, prednisolone | 53, D/S 4.3% | 54, Ringer's lactate | 55, Dextrose water 5% | 56, Normal saline 0.9% | 57, Diazepam | 58, phenobarbitone | 59, phenytoin | 60, carbamazepine | 61, Ferrous sulphate | 62, folic acid | 63, multivitamin supplements | 64, VitA | 65, VitB complex | 66, Zinc | 67, Zinc + multivitamins | 68, Aqueous cream | 69, benzyl benzoate | 70, calamine notion | 71, Hydrocortisone cream | 72, clotrimazole | 73, fluconazole | 74, Nystatin cream | 75, triple action cream | 76, Flamazinecream | 77, Hibitane | 78, whitfield ointment | 79, zinc oxide castor oil | 80, permethrin cream | 84, Gentamicin | 83, Others",,,,,,,y,,,,,
adve_drugnameother_q7c,ae,,notes,7cSpecify other,,,,,,,[adve_genericdrugname_q7a(83)] = '1',,,,,,
adve_conmed_startdate_q8,ae,Concomitant Medication Dates,text,8.Start dates,,,date_dmy,,,,,y,,,,,
adve_continuing_q8a,ae,,yesno, 8a. Continuing,,,,,,,,y,,,,,
adve_conmed_enddate_q8b,ae,,text,8b. End dates,,,date_dmy,,,,[adve_continuing_q8a]='0',,,,,,
adve_conmed_dose_q8c,ae,,text,8c. Dose,,,,,,,,,,,,,
adve_conmed_unit_q8d,ae,,dropdown,8d.Unit,"1, mL | 2, appl | 3, caps | 4, gtts | 5, I/U | 6, inj | 7, meq | 8, mg | 9, mg/kg | 10, ng | 11, puff | 12, ounce | 13, tabs | 14, units | 15, spray | 16, mmol/L | 17, µg | 18, gy | 19, grams | 20, ng | 21, drops",,,,,,,,,,,,
adve_route_q8e,ae,,dropdown,8e.Route,"1, po | 2, ear | 3, eye | 4, ia | 5, id | 6, im | 7, inh | 8, ip | 9, iv | 10, nas | 11, neb | 12, perc | 13, pr | 14, pv | 15, sc | 16, sl | 17, top",,,,,,,y,,,,,
adve_regimen_q8f,ae,,dropdown,8f. Regimen,"1, BID | 2, PRN | 3, QID | 4, QD | 5, STAT | 6, TID",,,,,,,y,,,,,
another_prescription,ae,,radio,another prescription,"1, yes | 2, no",,,,,,,,,,,,
adve_conmed_startdate_q9,ae,,text,8.Start dates,,,date_dmy,,,,[another_prescription]='1',y,,,,,
adve_continuing_q8a_2,ae,,yesno, 8a. Continuing,,,,,,,[another_prescription]='1',y,,,,,
adve_conmed_enddate_q8b_2,ae,,text,8b. End dates,,,date_dmy,,,,[adve_continuing_q8a]='0' and [another_prescription]='1',,,,,,
adve_conmed_dose_q8c_2,ae,,text,8c. Dose,,,,,,,[another_prescription]='1',,,,,,
adve_conmed_unit_q8d_2,ae,,dropdown,8d.Unit,"1, mL | 2, appl | 3, caps | 4, gtts | 5, I/U | 6, inj | 7, meq | 8, mg | 9, mg/kg | 10, ng | 11, puff | 12, ounce | 13, tabs | 14, units | 15, spray | 16, mmol/L | 17, µg | 18, gy | 19, grams | 20, ng | 21, drops",,,,,,[another_prescription]='1',,,,,,
adve_route_q8e_2,ae,,dropdown,8e.Route,"1, po | 2, ear | 3, eye | 4, ia | 5, id | 6, im | 7, inh | 8, ip | 9, iv | 10, nas | 11, neb | 12, perc | 13, pr | 14, pv | 15, sc | 16, sl | 17, top",,,,,,[another_prescription]='1',y,,,,,
adve_regimen_q8f_2,ae,,dropdown,8f. Regimen,"1, BID | 2, PRN | 3, QID | 4, QD | 5, STAT | 6, TID",,,,,,[another_prescription]='1',y,,,,,
another_prescription_2,ae,,radio,another prescription,"1, yes | 2, no",,,,,,[another_prescription]='1',,,,,,
adve_conmed_startdate_q10,ae,,text,8.Start dates,,,date_dmy,,,,[another_prescription_2]='1',y,,,,,
adve_continuing_q8a_3,ae,,yesno, 8a. Continuing,,,,,,,[another_prescription_2]='1',y,,,,,
adve_conmed_enddate_q8b_3,ae,,text,8b. End dates,,,date_dmy,,,,[adve_continuing_q8a_3]='0' and [another_prescription_2]='1',,,,,,
adve_conmed_dose_q8c_3,ae,,text,8c. Dose,,,,,,,[another_prescription_2]='1',,,,,,
adve_conmed_unit_q8d_3,ae,,dropdown,8d.Unit,"1, mL | 2, appl | 3, caps | 4, gtts | 5, I/U | 6, inj | 7, meq | 8, mg | 9, mg/kg | 10, ng | 11, puff | 12, ounce | 13, tabs | 14, units | 15, spray | 16, mmol/L | 17, µg | 18, gy | 19, grams | 20, ng | 21, drops",,,,,,[another_prescription_2]='1',,,,,,
adve_route_q8e_3,ae,,dropdown,8e.Route,"1, po | 2, ear | 3, eye | 4, ia | 5, id | 6, im | 7, inh | 8, ip | 9, iv | 10, nas | 11, neb | 12, perc | 13, pr | 14, pv | 15, sc | 16, sl | 17, top",,,,,,[another_prescription_2]='1',y,,,,,
adve_regimen_q8f_3,ae,,dropdown,8f. Regimen,"1, BID | 2, PRN | 3, QID | 4, QD | 5, STAT | 6, TID",,,,,,[another_prescription_2]='1',y,,,,,
another_prescription_3,ae,,radio,another prescription,"1, yes | 2, no",,,,,,[another_prescription_2]='1',,,,,,
adve_conmed_startdate_q11,ae,,text,8.Start dates,,,date_dmy,,,,[another_prescription_3]='1',y,,,,,
adve_continuing_q8a_4,ae,,yesno, 8a. Continuing,,,,,,,[another_prescription_3]='1',y,,,,,
adve_conmed_enddate_q8b_4,ae,,text,8b. End dates,,,date_dmy,,,,[adve_continuing_q8a_4]='0' and [another_prescription_3]='1',,,,,,
adve_conmed_dose_q8c_4,ae,,text,8c. Dose,,,,,,,[another_prescription_3]='1',,,,,,
adve_conmed_unit_q8d_4,ae,,dropdown,8d.Unit,"1, mL | 2, appl | 3, caps | 4, gtts | 5, I/U | 6, inj | 7, meq | 8, mg | 9, mg/kg | 10, ng | 11, puff | 12, ounce | 13, tabs | 14, units | 15, spray | 16, mmol/L | 17, µg | 18, gy | 19, grams | 20, ng | 21, drops",,,,,,[another_prescription_3]='1',,,,,,
adve_route_q8e_4,ae,,dropdown,8e.Route,"1, po | 2, ear | 3, eye | 4, ia | 5, id | 6, im | 7, inh | 8, ip | 9, iv | 10, nas | 11, neb | 12, perc | 13, pr | 14, pv | 15, sc | 16, sl | 17, top",,,,,,[another_prescription_3]='1',y,,,,,
adve_regimen_q8f_4,ae,,dropdown,8f. Regimen,"1, BID | 2, PRN | 3, QID | 4, QD | 5, STAT | 6, TID",,,,,,[another_prescription_3]='1',y,,,,,
another_prescription_4,ae,,radio,another prescription,"1, yes | 2, no",,,,,,[another_prescription_3]='1',,,,,,
adve_conmed_startdate_q12,ae,,text,8.Start dates,,,date_dmy,,,,[another_prescription_4]='1',y,,,,,
adve_continuing_q8a_5,ae,,yesno, 8a. Continuing,,,,,,,[another_prescription_4]='1',y,,,,,
adve_conmed_enddate_q8b_5,ae,,text,8b. End dates,,,date_dmy,,,,[adve_continuing_q8a_5]='0' and [another_prescription_4]='1',,,,,,
adve_conmed_dose_q8c_5,ae,,text,8c. Dose,,,,,,,[another_prescription_4]='1',,,,,,
adve_conmed_unit_q8d_5,ae,,dropdown,8d.Unit,"1, mL | 2, appl | 3, caps | 4, gtts | 5, I/U | 6, inj | 7, meq | 8, mg | 9, mg/kg | 10, ng | 11, puff | 12, ounce | 13, tabs | 14, units | 15, spray | 16, mmol/L | 17, µg | 18, gy | 19, grams | 20, ng | 21, drops",,,,,,[another_prescription_4]='1',,,,,,
adve_route_q8e_5,ae,,dropdown,8e.Route,"1, po | 2, ear | 3, eye | 4, ia | 5, id | 6, im | 7, inh | 8, ip | 9, iv | 10, nas | 11, neb | 12, perc | 13, pr | 14, pv | 15, sc | 16, sl | 17, top",,,,,,[another_prescription_4]='1',y,,,,,
adve_regimen_q8f_5,ae,,dropdown,8f. Regimen,"1, BID | 2, PRN | 3, QID | 4, QD | 5, STAT | 6, TID",,,,,,[another_prescription_4]='1',y,,,,,
another_prescription_5,ae,,radio,another prescription,"1, yes | 2, no",,,,,,[another_prescription_4]='1',,,,,,
adve_conmed_startdate_q13,ae,,text,8.Start dates,,,date_dmy,,,,[another_prescription_5]='1',y,,,,,
adve_continuing_q8a_6,ae,,yesno, 8a. Continuing,,,,,,,[another_prescription_5]='1',y,,,,,
adve_conmed_enddate_q8b_6,ae,,text,8b. End dates,,,date_dmy,,,,[adve_continuing_q8a_6]='0' and [another_prescription_5]='1',,,,,,
adve_conmed_dose_q8c_6,ae,,text,8c. Dose,,,,,,,[another_prescription_5]='1',,,,,,
adve_conmed_unit_q8d_6,ae,,dropdown,8d.Unit,"1, mL | 2, appl | 3, caps | 4, gtts | 5, I/U | 6, inj | 7, meq | 8, mg | 9, mg/kg | 10, ng | 11, puff | 12, ounce | 13, tabs | 14, units | 15, spray | 16, mmol/L | 17, µg | 18, gy | 19, grams | 20, ng | 21, drops",,,,,,[another_prescription_5]='1',,,,,,
adve_route_q8e_6,ae,,dropdown,8e.Route,"1, po | 2, ear | 3, eye | 4, ia | 5, id | 6, im | 7, inh | 8, ip | 9, iv | 10, nas | 11, neb | 12, perc | 13, pr | 14, pv | 15, sc | 16, sl | 17, top",,,,,,[another_prescription_5]='1',y,,,,,
adve_regimen_q8f_6,ae,,dropdown,8f. Regimen,"1, BID | 2, PRN | 3, QID | 4, QD | 5, STAT | 6, TID",,,,,,[another_prescription_5]='1',y,,,,,
adve_completeby_q9,ae,,text,9.Form completed by,,,,,,,,,,,,,@APPUSERNAME-APP
prot_abbrtitile_q1,noncompliance_form,,text,1.Abbreviated title or Acronym,,,,,,,,y,,,,,
prot_number_q2,noncompliance_form,,dropdown,2. Protocol number,,,,,,,,y,,,,,
prot_investigator_q3,noncompliance_form,,text,3.Principal Investigator,,,,,,,,y,,,,,
prot_compl_date_q4,noncompliance_form,,text,4. Date form completed,,,date_dmy,,,,,y,,,,,
prot_datenoncompl_q5,noncompliance_form,,text,5.Date of noncompliance,,,date_dmy,,,,,y,,,,,
prot_devpartainsto_q6,noncompliance_form,,yesno,6.Deviation pertains to participant(s): ,,,,,,,,y,,,,,
prot_oncrf_q7,noncompliance_form,,yesno,7.Is the deviation indicated on the CRF(s) or equivalent,,,,,,,,y,,,,,
prot_devresult_adverse_q8,noncompliance_form,,yesno,8. Did the deviation result in an adverse event,,,,,,,,y,,,,,
prot_majornoncompl_q9,noncompliance_form,,yesno,9. Was this a major noncompliance,,,,,,,,y,,,,,
prot_reportethics_q9a,noncompliance_form,,yesno,9a. Was it / will it be reported to Ethics Committee,,,,,,,[prot_majornoncompl_q9]='1',,,,,,
